Name,class,striking_to_grappling_attempts_ratio,striking_to_grappling_time_ratio
Mike Santiago,Hybrid Grappler,4.85,33.43
Ovince St. Preux,Hybrid Striker,4.81,6.07
Sheldon Westcott,Hybrid Grappler,4.8,96.3
Warlley Alves,Hybrid Grappler,4.8,5.23
Niko Price,Striker,4.79,9.23
Daron Cruickshank,Hybrid Grappler,4.79,16.56
Krzysztof Jotko,Hybrid Grappler,4.78,10.22
Jamie Varner,Hybrid Grappler,4.78,23.49
Damon Jackson,Hybrid Grappler,4.77,60.54
Gabriel Benitez,Hybrid Grappler,4.76,5.79
Akbarh Arreola,Hybrid Grappler,4.74,124.58
Justin Salas,Hybrid Grappler,4.73,1199
Pat Healy,Hybrid Grappler,4.7,899
Myles Jury,Striker,4.68,17.8
Alexander Hernandez,Hybrid Striker,4.67,31
Michael McDonald,Hybrid Grappler,4.67,359
Cristina Stanciu,Hybrid Grappler,4.63,28.63
Tony Ferguson,Hybrid Striker,4.6,10.07
Tom Duquesnoy,Hybrid Grappler,4.58,1.9
Dooho Choi,Hybrid Grappler,4.58,1919
Benson Henderson,Hybrid Grappler,4.55,27.93
Dan Hooker,Hybrid Striker,4.53,12.71
Jamie Moyle,Hybrid Grappler,4.48,31.34
Leonardo Santos,Hybrid Grappler,4.48,11.18
Francisco Trinaldo,Hybrid Grappler,4.46,4.54
Jack Hermansson,Hybrid Striker,4.45,13.19
Belal Muhammad,Hybrid Grappler,4.44,9.15
Roger Narvaez,Hybrid Grappler,4.44,36.67
Richard Walsh,Hybrid Grappler,4.43,19.87
Damian Stasiak,Hybrid Grappler,4.42,4.72
Valentina Shevchenko,Hybrid Grappler,4.41,12.57
Maximo Blanco,Striker,4.4,8.16
Leonardo Morales,Hybrid Grappler,4.4,27.57
Arnold Allen,Hybrid Striker,4.36,25.37
Daniel Kelly,Hybrid Grappler,4.36,6.33
Anthony Birchak,Hybrid Grappler,4.35,46.37
Mitch Gagnon,Hybrid Grappler,4.35,79
Mairbek Taisumov,Hybrid Striker,4.34,127
Andre Fili,Hybrid Grappler,4.33,5.43
Frank Mir,Hybrid Grappler,4.32,39.6
Gerald Meerschaert,Hybrid Grappler,4.31,56.49
Beneil Dariush,Hybrid Grappler,4.31,2.34
Ryan LaFlare,Hybrid Grappler,4.29,14.86
Josh Thomson,Hybrid Grappler,4.29,17.01
Jason Knight,Hybrid Grappler,4.27,9.46
Nate Marquardt,Hybrid Grappler,4.24,8.86
Charles Rosa,Hybrid Grappler,4.23,7
Dan Henderson,Striker,4.23,361.26
Geoff Neal,Hybrid Grappler,4.21,479
Max Griffin,Hybrid Grappler,4.2,399
Omari Akhmedov,Hybrid Striker,4.2,8.62
Elvis Mutapcic,Hybrid Grappler,4.19,354.56
Thiago Santos,Striker,4.19,8.06
Jordan Mein,Hybrid Grappler,4.18,8.3
Justin Willis,Hybrid Grappler,4.17,26.1
Mark Eddiva,Hybrid Grappler,4.16,11.31
Ketlen Vieira,Hybrid Grappler,4.15,8.79
Dmitrii Smoliakov,Hybrid Grappler,4.13,23
Matt Brown,Hybrid Striker,4.11,15.32
Stevie Ray,Hybrid Grappler,4.1,12.76
Cory Sandhagen,Hybrid Striker,4.07,48.74
Kajan Johnson,Hybrid Grappler,4.07,14.09
Tateki Matsuda,Hybrid Grappler,4.06,120.01
Phil Davis,Hybrid Grappler,4.04,31.24
Dan Ige,Hybrid Grappler,4.04,32.47
Ricardo Ramos,Hybrid Grappler,4.04,77.55
Gleison Tibau,Hybrid Grappler,4.04,9.93
Kyoji Horiguchi,Hybrid Grappler,4.04,15.25
John Moraga,Hybrid Grappler,4.01,8.05
Ashley Yoder,Hybrid Grappler,4.01,13.5
Joanne Calderwood,Striker,4.01,4.66
Alan Omer,Hybrid Grappler,4,47
Bubba Bush,Hybrid Grappler,4,31
Dashon Johnson,Hybrid Grappler,4,207.7
Emily Whitmire,Hybrid Grappler,4,599
Fredy Serrano,Hybrid Grappler,4,57.68
Henrique da Silva,Hybrid Grappler,4,17.62
Brad Pickett,Hybrid Grappler,3.99,24.23
Alberto Mina,Hybrid Grappler,3.97,39.6
Damir Hadzovic,Hybrid Grappler,3.94,79
Jorge de Oliveira,Hybrid Grappler,3.93,31
Marc Diakiese,Striker,3.91,12.14
Jumabieke Tuerxun,Hybrid Grappler,3.91,76.06
Ricky Simon,Hybrid Grappler,3.91,1.84
Travis Browne,Hybrid Grappler,3.9,15.69
Demetrious Johnson,Hybrid Grappler,3.89,4.18
Manvel Gamburyan,Hybrid Grappler,3.88,14.17
Joe Lauzon,Hybrid Grappler,3.88,6.03
Tim Boetsch,Hybrid Grappler,3.87,15.11
Ning Guangyou,Hybrid Grappler,3.86,87
Hector Sandoval,Hybrid Grappler,3.86,58.5
Alexander Gustafsson,Striker,3.86,11.77
Alejandro Perez,Hybrid Grappler,3.83,53.31
Ian McCall,Hybrid Grappler,3.83,44.86
Jimy Hettes,Hybrid Grappler,3.83,95
Court McGee,Hybrid Grappler,3.82,15.35
Ben Saunders,Hybrid Striker,3.82,22.1
Felipe Silva,Hybrid Grappler,3.81,999
Jon Tuck,Hybrid Grappler,3.81,7.54
Petr Yan,Striker,3.75,149
Chico Camus,Hybrid Grappler,3.75,2999
Rachael Ostovich,Hybrid Grappler,3.75,132.33
Neil Seery,Hybrid Grappler,3.72,7999
Joachim Christensen,Hybrid Grappler,3.71,19.59
Jeremy Kimball,Hybrid Grappler,3.71,94.05
Mauricio Rua,Striker,3.7,21.92
Hacran Dias,Hybrid Grappler,3.7,7.23
Elias Theodorou,Hybrid Grappler,3.67,11.33
Viscardi Andrade,Hybrid Grappler,3.67,36.24
Frankie Saenz,Hybrid Grappler,3.66,5.73
Rafael Dos Anjos,Hybrid Grappler,3.65,2.07
Naoyuki Kotani,Hybrid Grappler,3.64,139
Shane Campbell,Hybrid Grappler,3.62,11
Rick Glenn,Hybrid Grappler,3.62,22.72
Kiichi Kunimoto,Hybrid Grappler,3.61,30.06
Takeya Mizugaki,Hybrid Grappler,3.61,5.7
Yair Rodriguez,Hybrid Striker,3.6,9.87
Mike Pyle,Hybrid Grappler,3.59,11.28
Tom Breese,Hybrid Grappler,3.55,14.7
Marlon Vera,Hybrid Grappler,3.54,21.62
Jenel Lausa,Hybrid Grappler,3.53,60.11
Phillipe Nover,Hybrid Grappler,3.52,95
Thibault Gouti,Hybrid Grappler,3.51,102.85
Scott Holtzman,Hybrid Grappler,3.5,5.43
Claudia Gadelha,Grappler,3.5,3.41
Humberto Bandenay,Hybrid Grappler,3.5,15
Elias Silverio,Hybrid Grappler,3.49,7.1
Adam Wieczorek,Hybrid Grappler,3.49,49.85
Marcin Tybura,Hybrid Striker,3.48,9.85
Andy Ogle,Hybrid Grappler,3.47,31.18
Rose Namajunas,Grappler,3.45,22.54
